t,h,label,relatedness_score,sentence_h_en,sentence_t_en
رجل يقف عند الغسق على طريق ثلجي نقي تقريبًا ، تضاء فقط المصابيح الأمامية,امرأة تقف عند الغسق على طريق ثلجي نقي تقريبًا ، لا تضاء إلا بالمصابيح الأمامية,0,3.7,"A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights","A man is standing at dusk on an almost pristine, snowy road, that is lit only by headlights"
لا يوجد ثعبان يتغذى على فأر من رجل,ثعبان يتغذى على فأر من رجل,2,4.7,A snake is being fed a mouse by a man,No snake is being fed a mouse by a man
تتسابق سيارتان على المسار,تتسابق سيارة بيضاء وسيارة صفراء على المسار,1,4.5,A white car and a yellow car are racing down the track,Two cars are racing down the track
صبي تحت مظلة يحتجزه والده الذي يرتدي معطفًا أزرق,صبي تحت مظلة يحتجزه والده وهو يرتدي معطفًا مصبوغًا باللون الأزرق,1,4.6,A boy under an umbrella is being held by his father who is wearing a coat dyed in blue,A boy under an umbrella is being held by his father who is wearing a blue coat
يلعب نمر صغير  بالكرة  ,يلعب الطفل مع لعبة,0,3.2,A baby is playing with a toy,A baby tiger is playing with a ball
رجل يعزف على الغيتار,رجل يعزف على الغيتار,1,4.9,A man is playing a guitar,A man is playing guitar
امرأة والتجديف قارب,رجل يطلق النار بمسدس,0,1.0,A man is shooting with a gun,A woman is rowing a boat
امرأة تتحدث على هاتفها الخلوي وتحتفظ بمحفظة وحقيبة صفراء على الحافة القريبة,يقفز كلب بني وأبيض في الهواء وفي فمه كرة تنس,1,4.7,A woman is speaking loudly on her cell phone and is keeping a purse and a yellow bag on the near ledge,A woman is speaking on her cell phone and is keeping a purse and a yellow bag on the near ledge
الكلب يطرق الصبي في الماء,الكلب لا يطرق الصبي في الماء,0,2.85,A boy is knocking a dog with a bottle of water,The dog is knocking a boy into the water
اثنين من الصبية يلعبون لعبة فيديو,اثنين من الصبية يلعبون على الأريكة المباريات على التلفزيون,1,4.0,Two boys on a couch are playing games on the TV,Two boys are playing a video game
رجل بالخارج ويرمي الشفرات على هدف قريب,رجل بالخارج بالقرب من هدف لرمي النصل,0,3.9,A man is outside close to a target for blade throwing,A man is outside and is throwing blades at a close target
امرأة تجلس على العشب وتشرب من قنينة ماء,رجل يجلس على العشب ويشرب من قنينة ماء,0,4.0,A man is sitting on the grass and drinking from a water bottle,A woman is sitting on the grass and is drinking from a water bottle
كلب نائم على الأرض,كلب  يتدحرج على الأرض,0,3.8,A dog is rolling on the ground,A dog is sleeping on the ground
امرأة قطعت الخضار,ليس هناك امرأة قطع الخضروات,2,3.2,There is no woman cutting a vegetable,A woman is cutting a vegetable
أسد يتحرك ببطء,أسد يسير ببطء,1,4.2,A lion is slowly walking,A lion is slowly moving around
شخص ما يغلي في وعاء البامية,شخص ما يغلي في وعاء البامية,1,4.8,Somebody is boiling okra in a pot,Someone is boiling okra in a pot
قرد  سحب ذيل الكلب,ليس هناك قرد سحب ذيل الكلب,2,3.4,There is no monkey pulling a dog's tail,A monkey is pulling a dog's tail
كلب ينبح,وكانت طائرة تطير,0,1.0,A jet is flying,A dog is barking
رجل يعزف على الناي,رجل يعزف على الكمان,1,4.9,A man is playing a flute,A man is playing the flute
لا يوجد  فتاة تقفز إلى السيارة,الفتاة لا تتفز على السيارة بتهور,0,3.3,The girl isn't jumping onto the car recklessly,One girl is jumping on the car
ليس هناك رجل في يكتب مذكرة بالقرب من الدراجة,رجل يجلس بالقرب من الدراجة و يكتب مذكرة,2,4.2,A man is sitting near a bike and is writing a note,There is no man writing a note near a bike
رجل يعزف على الغيتار,ليس هناك رجل يكتب على لوحة المفاتيح,0,2.7,There is no man playing a keyboard,A man is playing a guitar
رجلين يتقاتلون,لا يوجد رجال تتقاتل ,2,3.4,There are no men fighting,Two men are fighting
شخص يرتدي قبعة ويجلس على العشب,الشخص يجلس ويرتدي قبعة العشب,0,3.4,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass
امرأة تعزف على الناي,يتم العزف على الناي من قبل فتاة,0,4.2,A flute is being played by a girl,One woman is practicing with a flute
بعض الناس يجلسون على كراسي الحديقة ويقرؤون الكتب,عدد قليل من الناس يجلسون على مقعد تحت بعض أشجار النخيل,0,3.4,A few people are sitting on a bench under some palm trees,The people are sitting on a bench in front of a restaurant
ليس هناك امرأة قطعت البطاطا,امرأة قطعت بصلة,0,2.4,A woman is slicing an onion,There is no woman cutting a potato
شخص يكتب,الشخص لا يكتب مع قلم رصاص,0,3.4,The person is not writing with a pencil,A person is writing
رجل وامرأة تقود على الطريق في سيارة,رجل وامرأة تقود في الشارع في سيارة جيب,1,4.3,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in a car
زوجان ينظران إلى الخريطة,زوجان لا ينظران إلى الخريطة,0,4.3,A couple is not looking at a map,A couple is looking at a map
رجل يكتب على لوحة المفاتيح الإلكترونية,فرقة لاتعزف على بعض الأدوات الموسيقية,0,3.4,A band is not playing some instruments,A man is playing an electronic keyboard
بعض الناس يمشون,النمر لا يتجول,0,1.7,A tiger is not walking around,Some people are walking
الرجل لا يعزف على الناي,رجل يعزف على الفلوت الخيزران,2,3.5,A man is playing a bamboo flute,The man is not playing a flute
بعض الناس يلعبون الرجبي يتعاملون مع بعضهم البعض,لا يتعامل لاعبو الرغبي مع بعضهم البعض,0,2.6,A soccer player is being tackled by his opponent,Some people playing rugby are tackling each other
رجل يكتب على آلة تستخدم في الاختزال,الرجل يشغل آلة اختزال,1,4.8,The man is typing on a machine used for stenography,The man is operating a stenograph
امرأة تتأرجح حصانًا صغيرًا بالقرب من جدار لتسلق الصخور,امرأة مع ذيل حصان والتسلق على جدار الصخور,0,2.9,A woman with a ponytail is climbing a wall of rock,A woman is tailing a pony near a rock climbing wall
متزلج يؤدي خدعة على منحدر,الضابط في الجيش يصرخ في المجندين,0,1.0,The military officer is shouting at the recruits,A rollerblader is performing a trick on a ramp
رجل وامرأة يسيران في منطقة حرجية,رجل وامرأة يسيران معًا عبر الغابة,1,4.6,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area
امرأة عجوز تصافح رجل,امرأة عجوز تصافح رجل,1,4.9,An old woman is shaking hands with a man,An woman that is old is shaking hands with a man
يلعب كلب مع طفل صغير,يلعب كلب,0,2.4,"A dog, which is small, is playing on the green grass","A dog is near a ball colored in red, which is in the air"
يركض كلبان ويحاولان الإمساك بالكرة,هناك كلبان يجريان ويحاولان الإمساك بكرة القدم,1,4.4,Two dogs are running and trying to catch a soccer ball,Two dogs are running and trying to catch a ball
رجل يرتدي غطاء بلاستيكي شفاف وقناع للوجه,رجل على جدار من الطوب يرتدي قناعًا حول فمه وشبكة شعر,0,2.4,A man by a brick wall is wearing a mask around his mouth and a hair net,A man is wearing a clear plastic cap and a face mask
فتاتان مراهقتان ترتديان فساتين فاخرة في إحدى المناسبات,امرأة بيضاء تقف على امرأة ترتدي الزي الأزرق على خشبة المسرح,0,1.6,A white woman is standing on a woman dressed in blue on a stage,Two teenage girls are wearing fancy dresses at an event
